amazon_asin,amazon price,is_prime,in_stock,ebay_price,ebay_quantity,ebay_id
B017RZ4YDE,$14.87,True,True,131.01,1,142715714466
B008E001IO,$7.99,True,True,123.19,1,142717844743
B00RCA2DGU,$22.99,True,True,140.24,1,142717844849
B00TXVPBBA,$9.99,True,True,125.46,1,142717844888
B0124N6A8G,$8.99,True,True,124.33,1,142717844937
B00ESLBT6G,$7.99,True,True,123.19,1,142717844978
B01EBJWVWU,,True,False,,0,142717845260
B01MY9A1WV,$13.99,True,True,130.01,1,142717845340
B00LSYWF82,$8.99,True,True,124.33,1,142717845355
B012TU620U,$12.99,True,True,128.87,1,142717845423
B017WLX80S,$12.99,True,True,128.87,1,142717845428
B008DMBO7U,$8.99,True,True,124.33,1,142717845496
B00LWGFWRC,$9.99,True,True,125.46,1,142717845515
B00U9V0DPW,$15.99,True,True,132.28,1,142717845815
B071S9D56L,$16.99,True,True,133.42,1,142718875933
B00EYK51HY,$109.99,True,True,239.16,1,142720920122
B008BX0AUI,$22.99,True,True,140.24,1,142720920125
B01MY4WQGB,$15.99,True,True,132.28,1,142720920127
B00RM26J2C,,True,False,,0,142720920131
B01BXJB9JC,$29.99,True,True,148.2,1,142720920220
B0147TLR92,$11.99,True,True,127.74,1,142720920290
B00XB3WQLO,$11.99,True,True,127.74,1,142720920324
B00XF6R464,$25.99,True,True,143.65,1,142720920353
B00XM109AU,,True,False,,0,142720920365
B01G2FHDXI,$34.99,True,True,153.89,1,142720920451
B008BAAIP8,$49.99,True,True,170.94,1,142720920486
B01HE1004I,$25.99,True,True,143.65,1,142720920492
B017WLXB4G,$12.99,True,True,128.87,1,142720920622
B00MOYJ484,$49.99,True,True,170.94,1,142720920638
B01BCOTPVC,$49.99,True,True,170.94,1,142720920667
B01HC7H57E,$35.99,True,True,155.02,1,142720920855
B00XBAUZU6,$21.99,True,True,139.11,1,142720920905
B00MRHKEBE,$15.99,True,True,132.28,1,142720920913
B00ESLBRU4,$7.79,True,True,122.96,1,142720921021
B00O9HRQ52,$27.99,True,True,145.93,1,142720921037
B008BWMSOK,$25.99,True,True,143.65,1,142720921061
B01IPUEYYY,$12.99,True,True,128.87,1,142720921062
B00RCA2EX2,$22.99,True,True,140.24,1,142720921166
B00N12RT8A,$9.99,True,True,125.46,1,142720921194
B00HM9V9TI,$45.99,True,True,166.39,1,142720921255
B00GTXSCAM,$6.99,True,True,122.05,1,142720921320
B00N12RS3G,$22.99,True,True,140.24,1,142720921364
B009XG714K,$11.99,True,True,127.74,1,142720921721
B009D62C4Y,$6.99,True,True,122.05,1,142722806369
B00TOWQOSW,$6.89,True,True,121.94,1,142722806929
B00SNLIN4S,,True,False,,0,142722807417
B0083Y0WL2,$9.99,True,True,125.46,1,142722807669
B01N7P3EB5,$68.99,True,True,192.55,1,142723359612
B06XRBK8V9,$84.99,True,True,210.74,1,142723359655
B072V2DGXG,$39.99,True,True,159.57,1,142723359714
B072TVC8QZ,$30.99,True,True,149.34,1,142723359774
B0758C8H7K,$29.99,True,True,148.2,1,142723359794
B0771QXJS1,$39.99,True,True,159.57,1,142723359918
B06XKXGYC9,$52.99,True,True,174.35,1,142723360060
B01MZGXW14,$86.99,True,True,213.01,1,142723360086
B071R44Q63,$26.99,True,True,144.79,1,142723360249
B06ZYN4V8V,$42.99,True,True,162.98,1,142723360270
B071WC39RM,$29.99,True,True,148.2,1,142723360319
B072TYFLFG,$45.99,True,True,166.39,1,142723360465
B01NAW4K74,$149.88,True,True,284.52,1,142723360556
B06ZYY1QJV,$29.99,True,True,148.2,1,142723360612
B06ZZ7B6WW,$27.99,True,True,145.93,1,142723360618
B078JQCJHX,$199.99,True,True,341.49,1,142723360624
B072TY2KM4,$38.99,True,True,158.44,1,142723360772
B077D52ZZ7,$74.99,True,True,199.37,1,142723360914
B074FVJC3G,$79.99,True,True,205.05,1,142723360943
B07222BZY3,$30.99,True,True,149.34,1,142723360982
B01N6JPNLY,,True,False,,0,142723361000
B06ZY8276B,$39.99,True,True,159.57,1,142723361070
B071XMH1QN,$29.99,True,True,148.2,1,142723361151
B01MQFSKN3,$38.95,True,True,158.4,1,142723361191
B06ZZ7HQX3,$42.99,True,True,162.98,1,142723361389
B06ZZHT2C1,$29.99,True,True,148.2,1,142723361393
B071RDRD16,$69.99,True,True,193.68,1,142723361795
B06ZYY1PVG,$32.99,True,True,151.61,1,142723361801
B01MR97OYL,$67.99,True,True,191.41,1,142723361839
B06ZZRPQVK,$13.76,True,True,129.75,1,142723361951
B072TX3YPH,$29.99,True,True,148.2,1,142723362793
B06ZZHWM45,$59.99,True,True,182.31,1,142723363061
B06XTX4Q3M,$49.99,True,True,170.94,1,142723363610
B06Y2HDQRH,$24.99,True,True,142.52,1,142723363716
B072V123L6,$39.99,True,True,159.57,1,142723363752
B06ZYCLFF6,$39.99,True,True,159.57,1,142723363858
B072TWG3WL,$32.99,True,True,151.61,1,142723363880
B01N10I0O0,$109.99,True,True,239.16,1,142723363950
B072M78RVQ,$31.99,True,True,150.48,1,142723363967
B075965ZP2,$39.99,True,True,159.57,1,142723364021
B06Y2P5KZV,$42.99,True,True,162.98,1,142723364051
B071H3FLFL,$29.99,True,True,148.2,1,142723364105
B01MYB8G07,$27.99,True,True,145.93,1,142723364287
B074FSR8FS,$42.99,True,True,162.98,1,142723364547
B07587FX58,$46.99,True,True,167.53,1,142723364645
B078W6JXVF,$69.99,True,True,193.68,1,142724548967
B072Q9YSR1,,True,False,,0,142724549050
B07221W47D,,True,False,,0,142724549129
B072V2KZJW,$39.99,True,True,159.57,1,142724549159
B078V5MV9K,$129.99,True,True,261.9,1,142724549230
B071RDTMBS,$52.99,True,True,174.35,1,142724549276
B07221YH75,$69.99,True,True,193.68,1,142724549334
B078V4QJ32,$119.99,True,True,250.53,1,142724549382
B06ZXSKYBF,$47.99,True,True,168.67,1,142724549388
B071RDD34K,,True,False,,0,142724549390
B078PHP1J1,$39.99,True,True,159.57,1,142724549492
B07216PJZV,$39.99,True,True,159.57,1,142724549495
B075SRXKPT,$45.99,True,True,166.39,1,142724549572
B072TYC7H1,,True,False,,0,142724549593
B06WGR5J5Q,,True,False,,0,142724549608
B078V3PGFN,$119.99,True,True,250.53,1,142724549671
B01MR5OB4Y,,True,False,,0,142724549790
B072V24T6W,$38.99,True,True,158.44,1,142724549793
B074Z6SF1F,$55.99,True,True,177.77,1,142724549796
B078NWFNVG,$67.99,True,True,191.41,1,142724549819
B07216MN9C,$26.99,True,True,144.79,1,142724549831
B072338SJJ,$119.99,True,True,250.53,1,142724550140
B072V3CYYW,$39.99,True,True,159.57,1,142724550162
B072TW82ZR,$43.99,True,True,164.12,1,142724550194
B06ZYCKGS1,$76.99,True,True,201.64,1,142724550199
B078MLMMHY,$84.99,True,True,210.74,1,142724550413
B071J5C2JQ,$24.99,True,True,142.52,1,142724550488
