photo,product_name,ebay_id,custom_label,price,quantity,no_of_times_sold,date_of_listing,is_active,margin_perc,minimum_margin,stock_level,status,flag
http://thumbs.ebaystatic.com/pict/2632885327456464_1.jpg,TERRO T300 Liquid Ant Baits - 6 Pack,263288532745,B000HJBKMQ,5.84,-1,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885327606464_1.jpg,"EXPO Low-Odor Dry Erase Markers, Chisel Tip, Black, 4-Count",263288532760,B0019DEBS4,3.87,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885328156464_1.jpg,"Gorilla White Gorilla Glue, 2 oz., White",263288532815,B001L6CVS6,5.8,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885328856464_1.jpg,"Loctite 37421 271 Red Heavy Duty Threadlocker, 6-milliliter Tube",263288532885,B0028OJAIY,9.78,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885329596464_1.jpg,"Forney 73000 Hacksaw Frame, Adjustable, Standard",263288532959,B003X4ZHPS,17.96,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885330386464_1.jpg,Rampow Micro USB Cables [2-Pack 3.3ft] Braided Samsung USB Cables/Android Cables,263288533038,B01GJC4WRO,9.56,3,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885330696464_1.jpg,Neiko 01924A Ultimate Self-Adjusting Wire and Cable Stripper,263288533069,B000IYTCG6,23.2,4,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885330856464_1.jpg,"Granite Ware 0718-1 Enamel-on-Steel Canning Kit, 9-Piece",263288533085,B002KHN602,40.57,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885331406464_1.jpg,"Tosnail Wood Bellows, Fireplace Bellows 15.5"" x 6.5"", Wood Bellows, Brown Color",263288533140,B0195YPILC,16.38,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885331706464_1.jpg,BLACK+DECKER BM3B 6V and 12V Battery Charger / Maintainer,263288533170,B0051D3MP6,22.29,12,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885332236464_1.jpg,FRAM CF10134 Fresh Breeze Cabin Air Filter with Arm & Hammer,263288533223,B0010E00T6,24.16,3,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885332256464_1.jpg,"ResCare RK41N All-Purpose Water Softener Cleaner Liquid Refill, 1 Gallon",263288533225,B0057FQJVM,26.44,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885333086464_1.jpg,Toyota Genuine Parts 90915-YZZD3 Oil Filter,263288533308,B0044B0YJ8,8.99,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885333136464_1.jpg,NETGEAR 5-Port Fast Ethernet 10/100Mbps Switch (FS205),263288533313,B00KFD0SNG,12.98,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885334896464_1.jpg,HDE U480 CAN-BUS OBD2 OBDII Car Scanner Universal Fault Code Reader Auto Diagnos,263288533489,B00J8TNH8G,19.78,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885335206464_1.jpg,OEMTOOLS 25025  26 Blade Master Feeler Gauge,263288533520,B000BYGIR4,7.12,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885335596464_1.jpg,"BookFactory Carbonless Biology Lab Notebook - 75 Sets of Pages (8.5"" X 11"") (Dup",263288533559,B00A7AU3W8,17.51,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885336026464_1.jpg,Wahl Hair Clipper Blade Oil 4 oz. #3310-300,263288533602,B0084AWBRS,6.47,4,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885336446464_1.jpg,Hopkins FloTool 11849 Dispos-Oil Recycle Oil Jug,263288533644,B0014FKI1Q,14.96,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885336726464_1.jpg,OHP BMW 20-pin OBD2 Round Diagnostic Scanner Adapter Cable,263288533672,B01M6WHNQG,11.83,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885337606464_1.jpg,"RJ45 Splitter Adapter,SinLoon RJ45 Female 1 to 2 port Female Socket Adapter Inte",263288533760,B017SND70G,7.28,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885339056464_1.jpg,"Oral-B Pro-Health Clinical Pro-Flex Toothbrush with Flexing Sides, 40M - Medium,",263288533905,B00763LZWQ,8.22,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885339316464_1.jpg,"Howard Leight by Honeywell SmartFit Corded Reusable Shooting Earplugs, 2-Pairs (",263288533931,B001DRNK9C,8.41,-1,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885341766464_1.jpg,iSaddle WIFI Wireless OBD2 OBDII Scan Tool Auto Scanner Adapter Check Engine Lig,263288534176,B00PB6G9ZS,30.02,3,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885341916464_1.jpg,"Rowkin Mini Plus+ True Wireless Earbud, Bluetooth Headphone w/ Mic. Smallest Cor",263288534191,B01IU5ZTKC,57.31,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885342676464_1.jpg,"BUDGET & GOOD Universal Smartphones Car Air Vent Mount Holder Cradle, Black",263288534267,B014881T2C,11.83,6,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885342816464_1.jpg,"J-B Weld 8265S Cold Weld Steel Reinforced Epoxy with Hardener, 2 oz",263288534281,B0006O1ICE,6.92,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885346216464_1.jpg,"Scotch Heavy Duty Shipping Packaging Tape, 3"" Core, 1.88"" x 54.6 Yards, 6-Rolls",263288534621,B000087KUA,27.24,4,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885862786464_1.jpg,CRC 5103 Quick Dry Electronic Cleaner - 11 Wt Oz.,263288586278,B000BXOGNI,9.53,8,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885862896464_1.jpg,The Silver Eyes (Five Nights At Freddy's #1),263288586289,133813437X,7.49,4,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885864556464_1.jpg,Liquid Wrench L616 White Lithium Grease - 10.25 oz.,263288586455,B00200EFJA,6.97,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885865216464_1.jpg,"Rust-Oleum 7784502 Stops Rust, 32 oz. Quart, Gloss Charcoal Gray",263288586521,B000BZX6H8,26.25,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885865296464_1.jpg,"Victor M231 Ultimate Flea Trap Refills, 3 Per Pack",263288586529,B00004RBDU,7.28,5,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885865956464_1.jpg,"NeverKink 8844-100 Series 4000 Commercial Duty Pro Garden Hose, 5/8-Inch by 100-",263288586595,B00INTINMC,39.71,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885866426464_1.jpg,Nature's Miracle Stain & Odor Remover,263288586642,B008RGWFRA,15.92,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885866736464_1.jpg,"Pampers Baby Wipes Sensitive 7X Refill, 448 Diaper Wipes",263288586673,B005DLCJX2,13.42,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885868596464_1.jpg,Orbit 1/2-Inch Metal Ring Sprinkler Base 58030,263288586859,B00004S24U,17.51,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885868836464_1.jpg,Keurig 5048 My K-Cup Reusable Coffee Filter - Old Model,263288586883,B000DLB2FI,10.64,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885868856464_1.jpg,NEW Hartz UltraGuard Rid Flea and Tick Shampoo for Dogs with Oatmeal 18oz,263288586885,B000OXCUCO,5.33,4,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885868996464_1.jpg,WD-40 490118 Multi-Use Lubricant Product Heavy Duty One Gallon (Pack of 4),263288586899,,89.1,4,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885869276464_1.jpg,PORTER-CABLE PC18B 18-Volt NiCd Cordless Battery Pack,263288586927,B0029T6W84,37.98,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885870496464_1.jpg,"CRC Power Lube Industrial High Performance Lubricant with PTFE, 16 oz. (Net weig",263288587049,B000P1E7ZS,8.92,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885870596464_1.jpg,Pentius PAB10359 UltraFLOW Air Filter,263288587059,B002M5DG34,11.66,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885871106464_1.jpg,Liquid Wrench LHL04/6 Lock and Hinge Lube - 4.5 oz.,263288587110,B00OUZCWQQ,13.36,3,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885871196464_1.jpg,Plano 1354 4-By Rack System 3500 Size Tackle Box,263288587119,B000E3C3LC,28.86,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885871246464_1.jpg,"Rain Bird P5RLSP Plastic Impact Sprinkler on Large Metal Spike, Adjustable 0° -",263288587124,B005MICYTU,24.96,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885871316464_1.jpg,"USB Type C Cable, CHOETECH USB C to USB 3.0 (3-Pack, 6.6ft x 1, 3.3ft x 2)Nylon",263288587131,B01LX8GCZ5,11.83,-1,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885872016464_1.jpg,"iXCC 3 Feet Micro USB to USB(2.0) Cable, Super Durable A Male to Micro B Charge",263288587201,B0092HWU2I,6.71,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885873086464_1.jpg,WD-40 300014 Specialist Water Resistant Silicone Lubricant Spray 11 OZ (Pack of,263288587308,B00631GSSI,6.99,-1,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885873266464_1.jpg,"RhinoGear 11909ABMI RhinoRamps Vehicle Ramp - Set of 2 (12,000lb. GVW Capacity)",263288587326,B0117EETEK,36.83,6,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885873936464_1.jpg,"Rust-Oleum 7769502 Protective Enamel Paint Stops Rust, 32-Ounce, Flat Rusty Meta",263288587393,B000SA8OGY,10.1,-1,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885874266464_1.jpg,"Moonrays 91515 Solar-Powered Outdoor LED Light Garden Décor, Turtles on a Log",263288587426,B00352LT50,15.25,2,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885874826464_1.jpg,Dremel 9933 Structured Tooth Tungsten Carbide Cutter,263288587482,B00004UDJX,14.08,3,-1,2017-10-30,False,,,,monitored,False
http://thumbs.ebaystatic.com/pict/2632885875636464_1.jpg,"Scotch Long Lasting Moving & Storage Packaging Tape with Refillable Dispenser, 1",263288587563,B000Y9FETO,9.28,2,-1,2017-10-30,False,,,,monitored,False
