6,"{'custom_label': 'B0010O748Q', 'no_of_times_sold': -1, 'product_name': b'SE FS374 All-Weather Emergency 2-IN-1 Fire Starter & Magnesium Fuel Bar', 'date_of_listing': '2017-12-18', 'price': '6.9', 'ebay_id': '263394057090', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633940570906464_1.jpg'}"
7,"{'custom_label': 'B003UCODIA', 'no_of_times_sold': -1, 'product_name': b'SE MH1047L Illuminated Multi-Power LED Head Magnifier', 'date_of_listing': '2017-12-18', 'price': '15.18', 'ebay_id': '263394057903', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633940579036464_1.jpg'}"
8,"{'custom_label': 'B0002BBYIE', 'no_of_times_sold': -1, 'product_name': b'SE 813PK 16-Piece Hobby Knife Set with Aluminum Collet Chucks', 'date_of_listing': '2017-12-18', 'price': '7.65', 'ebay_id': '263394060947', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633940609476464_1.jpg'}"
9,"{'custom_label': 'B00NQBB1DU', 'no_of_times_sold': -1, 'product_name': b'uxcell\xc2\xae Retainer Clips Fasteners Bumper Fender 9mm Hole 50 Pcs', 'date_of_listing': '2018-04-18', 'price': '8.72', 'ebay_id': '263615548175', 'seller_id': 23, 'quantity': '0', 'photo': 'http://thumbs.ebaystatic.com/pict/2636155481756464_1.jpg'}"
10,"{'custom_label': 'B06XSC36DX', 'no_of_times_sold': -1, 'product_name': b'AISHN Tactical Pen with 3 ink refill, Glass Breaker, Aircraft Aluminum Material', 'date_of_listing': '2017-11-19', 'price': '9.95', 'ebay_id': '263333412529', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633334125296464_1.jpg'}"
1,"{'custom_label': 'B004YLJX7W', 'no_of_times_sold': -1, 'product_name': b'Spyderco BaliYo Butterfly Pen Flipper', 'date_of_listing': '2017-11-19', 'price': '9.2', 'ebay_id': '263333414608', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633334146086464_1.jpg'}"
2,"{'custom_label': 'B01DU1L66C', 'no_of_times_sold': -1, 'product_name': b'Screwdriver Pen Pocket Multi-Tool By EdgeWorks \xe2\x80\x93 Multi-Functional & Sturdy Alumi', 'date_of_listing': '2017-11-19', 'price': '13.57', 'ebay_id': '263333416664', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633334166646464_1.jpg'}"
3,"{'custom_label': 'B002L6RB80', 'no_of_times_sold': -1, 'product_name': b'Zebra F-701 Ballpoint Stainless Steel Retractable Pen, Fine Point, 0.7mm, Black', 'date_of_listing': '2017-11-19', 'price': '6.5', 'ebay_id': '263333417744', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633334177446464_1.jpg'}"
4,"{'custom_label': 'B00THMIFC2', 'no_of_times_sold': -1, 'product_name': b'Guard Dog Security Tactical Pen with Tungsten Steel Pressure Tip and 30 Lumen Fl', 'date_of_listing': '2017-11-19', 'price': '18.97', 'ebay_id': '263333418050', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633334180506464_1.jpg'}"
5,"{'custom_label': 'B001AFB6YI', 'no_of_times_sold': -1, 'product_name': b'PARKER QUINK Ballpoint Pen Gel Ink Refills, Medium Tip, Black, 2 Count', 'date_of_listing': '2017-11-19', 'price': '7.19', 'ebay_id': '263333418072', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633334180726464_1.jpg'}"
